uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q117157409,Archie Motley,1934,education,http://www.wikidata.org/entity/Q1537759,Loyola University Chicago,2,private not-for-profit educational institution | university,1911-1940,"['private not-for-profit educational institution', 'university']"
http://www.wikidata.org/entity/Q117157409,Archie Motley,1934,membership,http://www.wikidata.org/entity/Q7552352,Society of American Archivists,4,learned society | medical check-up | professional association | publishing company,1911-1940,"['learned society', 'medical check-up', 'professional association', 'publishing company']"
http://www.wikidata.org/entity/Q117157409,Archie Motley,1934,membership,http://www.wikidata.org/entity/Q85785367,Midwest Archives Conference,1,professional association,1911-1940,['professional association']
http://www.wikidata.org/entity/Q117157409,Archie Motley,1934,employment,http://www.wikidata.org/entity/Q2963315,Chicago History Museum,3,medical check-up | museum | museum building,1911-1940,"['medical check-up', 'museum', 'museum building']"
http://www.wikidata.org/entity/Q11717546,Jan Glinka,1890,education,http://www.wikidata.org/entity/Q681,Warsaw University of Life Sciences,2,open-access publisher | public university,1881-1910,"['open-access publisher', 'public university']"
http://www.wikidata.org/entity/Q11717546,Jan Glinka,1890,education,http://www.wikidata.org/entity/Q144488,University of Warsaw,2,campus university | university,1881-1910,"['campus university', 'university']"
http://www.wikidata.org/entity/Q11718186,Jan Kulas,1957,education,http://www.wikidata.org/entity/Q1758009,University of Gdańsk,2,open-access publisher | university,1941-1970,"['open-access publisher', 'university']"
http://www.wikidata.org/entity/Q11718186,Jan Kulas,1957,membership,http://www.wikidata.org/entity/Q3776182,Kashubian-Pomeranian Association,1,voluntary association,1941-1970,['voluntary association']
http://www.wikidata.org/entity/Q11718617,Jan Pakulski,1941,employment,http://www.wikidata.org/entity/Q1752712,Nicolaus Copernicus University in Toruń,2,open-access publisher | university,1941-1970,"['open-access publisher', 'university']"
http://www.wikidata.org/entity/Q11718617,Jan Pakulski,1941,education,http://www.wikidata.org/entity/Q1752712,Nicolaus Copernicus University in Toruń,2,open-access publisher | university,1941-1970,"['open-access publisher', 'university']"
http://www.wikidata.org/entity/Q11718826,Jan Riabinin,1878,education,http://www.wikidata.org/entity/Q27923720,Imperial Moscow University,1,imperial university of the russian empire,1851-1880,['imperial university of the russian empire']
http://www.wikidata.org/entity/Q11719051,Jan Spychalski,1893,membership,http://www.wikidata.org/entity/Q2513858,Association of Polish Artists and Designers,1,organization,1881-1910,['organization']
http://www.wikidata.org/entity/Q11720133,Janusz Durko,1915,education,http://www.wikidata.org/entity/Q144488,University of Warsaw,2,campus university | university,1911-1940,"['campus university', 'university']"
http://www.wikidata.org/entity/Q11720526,Janusz Tandecki,1950,employment,http://www.wikidata.org/entity/Q1752712,Nicolaus Copernicus University in Toruń,2,open-access publisher | university,1941-1970,"['open-access publisher', 'university']"
http://www.wikidata.org/entity/Q11720526,Janusz Tandecki,1950,education,http://www.wikidata.org/entity/Q1752712,Nicolaus Copernicus University in Toruń,2,open-access publisher | university,1941-1970,"['open-access publisher', 'university']"
http://www.wikidata.org/entity/Q11720526,Janusz Tandecki,1950,membership,http://www.wikidata.org/entity/Q9360477,Toruń Society of Arts and Sciences,2,learned society | open-access publisher,1941-1970,"['learned society', 'open-access publisher']"
http://www.wikidata.org/entity/Q11720539,Janusz Uklejewski,1925,membership,http://www.wikidata.org/entity/Q9392399,Związek Polskich Artystów Fotografików,1,association,1911-1940,['association']
